2021-06-27 21:06:988 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 21:06:921 INFO  HomePage :34 - Clicking on Bank Manager Login Button[[ChromeDriver: chrome on WINDOWS (3337f37b54aa133230b0915208d46ea1)] -> xpath: //button[text()='Bank Manager Login']]
2021-06-27 21:06:198 INFO  HomePage :23 - Clicking on add to Customer Tab[[ChromeDriver: chrome on WINDOWS (3337f37b54aa133230b0915208d46ea1)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[1]/button[1]]
2021-06-27 21:06:524 INFO  HomePage :27 - Enter First Name[[ChromeDriver: chrome on WINDOWS (3337f37b54aa133230b0915208d46ea1)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-27 21:06:685 INFO  HomePage :32 - Enter Last Name[[ChromeDriver: chrome on WINDOWS (3337f37b54aa133230b0915208d46ea1)] -> xpath: //input[@placeholder='Last Name']]
2021-06-27 21:06:854 INFO  HomePage :37 - Enter post code[[ChromeDriver: chrome on WINDOWS (3337f37b54aa133230b0915208d46ea1)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-27 21:06:890 INFO  HomePage :41 - Click On Add Customer button[[ChromeDriver: chrome on WINDOWS (3337f37b54aa133230b0915208d46ea1)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/button[1]]
2021-06-28 13:06:261 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-28 13:06:860 INFO  HomePage :34 - Clicking on Bank Manager Login Button[[ChromeDriver: chrome on WINDOWS (fe8e176d5c9a29c14ec8540368861cd3)] -> xpath: //button[text()='Bank Manager Login']]
2021-06-28 13:06:466 INFO  HomePage :23 - Clicking on add to Customer Tab[[ChromeDriver: chrome on WINDOWS (fe8e176d5c9a29c14ec8540368861cd3)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[1]/button[1]]
2021-06-28 13:06:807 INFO  HomePage :27 - Enter First Name[[ChromeDriver: chrome on WINDOWS (fe8e176d5c9a29c14ec8540368861cd3)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-28 13:06:925 INFO  HomePage :32 - Enter Last Name[[ChromeDriver: chrome on WINDOWS (fe8e176d5c9a29c14ec8540368861cd3)] -> xpath: //input[@placeholder='Last Name']]
2021-06-28 13:06:65 INFO  HomePage :37 - Enter post code[[ChromeDriver: chrome on WINDOWS (fe8e176d5c9a29c14ec8540368861cd3)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-28 13:06:111 INFO  HomePage :41 - Click On Add Customer button[[ChromeDriver: chrome on WINDOWS (fe8e176d5c9a29c14ec8540368861cd3)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/button[1]]
2021-06-28 13:06:386 INFO  HomePage :29 - Clicking on add to Customer Tab[[ChromeDriver: chrome on WINDOWS (fe8e176d5c9a29c14ec8540368861cd3)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[1]/button[2]]
2021-06-28 13:06:152 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-28 13:06:948 INFO  HomePage :34 - Clicking on Bank Manager Login Button[[ChromeDriver: chrome on WINDOWS (da74a8d497eafbc70de724a99335cf40)] -> xpath: //button[text()='Bank Manager Login']]
2021-06-28 13:06:263 INFO  HomePage :23 - Clicking on add to Customer Tab[[ChromeDriver: chrome on WINDOWS (da74a8d497eafbc70de724a99335cf40)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[1]/button[1]]
2021-06-28 13:06:615 INFO  HomePage :27 - Enter First Name[[ChromeDriver: chrome on WINDOWS (da74a8d497eafbc70de724a99335cf40)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
